kepid,koi_disposition
10797460,"CONFIRMED"
10797460,"CONFIRMED"
10811496,"CANDIDATE"
10848459,"FALSE POSITIVE"
10854555,"CONFIRMED"
10872983,"CONFIRMED"
10872983,"CONFIRMED"
10872983,"CONFIRMED"
6721123,"FALSE POSITIVE"
10910878,"CONFIRMED"
11446443,"CONFIRMED"
10666592,"CONFIRMED"
6922244,"CONFIRMED"
10984090,"CONFIRMED"
10419211,"FALSE POSITIVE"
10464078,"FALSE POSITIVE"
10480982,"FALSE POSITIVE"
10485250,"FALSE POSITIVE"
10526549,"CONFIRMED"
10583066,"CONFIRMED"
10583180,"FALSE POSITIVE"
10601284,"CONFIRMED"
10601284,"CONFIRMED"
10601284,"CONFIRMED"
2306756,"FALSE POSITIVE"
10662202,"CONFIRMED"
10682541,"CONFIRMED"
11460018,"CONFIRMED"
11463211,"FALSE POSITIVE"
11465813,"FALSE POSITIVE"
11493732,"FALSE POSITIVE"
11507101,"CONFIRMED"
10910878,"CONFIRMED"
10910878,"CONFIRMED"
10987985,"CONFIRMED"
11018648,"CONFIRMED"
11018648,"CONFIRMED"
11138155,"CONFIRMED"
11152159,"FALSE POSITIVE"
11153539,"CONFIRMED"
11242721,"FALSE POSITIVE"
9579641,"CONFIRMED"
11304958,"CONFIRMED"
11391957,"CONFIRMED"
11403044,"CONFIRMED"
11414511,"CONFIRMED"
11442465,"FALSE POSITIVE"
12110942,"CONFIRMED"
12366084,"CONFIRMED"
12366084,"CONFIRMED"
12404086,"CONFIRMED"
8395660,"CONFIRMED"
9579641,"CONFIRMED"
11656840,"FALSE POSITIVE"
11754553,"CONFIRMED"
11754553,"CONFIRMED"
11754553,"CONFIRMED"
11812062,"CONFIRMED"
11818800,"CANDIDATE"
11853255,"CONFIRMED"
11909839,"FALSE POSITIVE"
11918099,"CONFIRMED"
11918099,"CANDIDATE"
9579641,"CANDIDATE"
11923270,"CONFIRMED"
11960862,"CONFIRMED"
12020329,"CONFIRMED"
12066335,"CONFIRMED"
12066335,"CONFIRMED"
12070811,"CONFIRMED"
8395660,"CONFIRMED"
3120431,"FALSE POSITIVE"
3246984,"FALSE POSITIVE"
3342970,"CONFIRMED"
3342970,"CONFIRMED"
12459725,"FALSE POSITIVE"
12470844,"CONFIRMED"
12470844,"CONFIRMED"
12644822,"CONFIRMED"
2440757,"FALSE POSITIVE"
2445129,"FALSE POSITIVE"
2713049,"CONFIRMED"
3114167,"CONFIRMED"
3114661,"FALSE POSITIVE"
3115833,"CANDIDATE"
4139816,"CONFIRMED"
4139816,"CONFIRMED"
8395660,"CONFIRMED"
4139816,"CONFIRMED"
