target,first_transit_time,mean_detrended_flux,std_detrended_flux,kernel_size,prominence,data_dir,num_peaks,quality_flag,estimated_period_days,final_ranking_score,period_stability_cv,period_stability_flag,review_status,review_reason,mean_transit_depth,median_transit_depth,max_transit_depth,median_transit_duration,snr_flag,period_agreement,run_id,fetched_at_utc,source_url,local_path,bls_period_days,bls_duration_days,bls_depth,bls_power,flux_noise,transit_snr,depth_consistency_cv,valid_fraction,observation_baseline_days,ml_probability,ml_model_status,ml_review_status
kplr002849162-2009131105131_llc.fits,121.39754437823285,1.0002754349140324,0.001567573962029495,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,9,medium_confidence,0.9297745506992214,73.0,0.37568664189697726,moderate,review_with_caution,above threshold with weaker supporting signals,0.0009253113998063883,0.0010307264402610317,0.003035341657126822,33.257004642550584,weak,0.7628677118928978,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0028/002849162/kplr002849162-2009131105131_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr002849162-2009131105131_llc.fits,1.6390695347673836,0.3,0.0020308521113169263,0.0001711609523686773,0.001567573962029495,1.9725891062771514,1.8075939860631347,0.9852941176470589,9.706433311999717,,unavailable,model_unavailable
kplr002835270-2009166043257_llc.fits,131.5538147823754,1.000096698252001,0.000564669820771369,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,184,high_confidence,0.14303991063206922,70.0,0.7663277730440331,unstable,review_with_caution,above threshold with weaker supporting signals,0.00011746294462899031,0.00015693303849101392,0.0005262098035182516,1.6614130338944335,weak,9.42013547853578,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0028/002835270/kplr002835270-2009166043257_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr002835270-2009166043257_llc.fits,1.4904952476238118,0.3,0.00014323245940595043,3.3235170632513128e-06,0.000564669820771369,3.769890343516383,3.611563909040756,0.9908480780964003,33.47148623330577,,unavailable,model_unavailable
kplr002835270-2013131215648_llc.fits,1559.3078576402477,1.000015536783063,0.00016893992916118582,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,166,high_confidence,0.14304125284252223,70.0,2.237992878471572,unstable,review_with_caution,above threshold with weaker supporting signals,0.0001657341849495768,0.0001598120261141478,0.0005991599141533799,1.9650374389061085,strong,83.51264342956686,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0028/002835270/kplr002835270-2013131215648_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr002835270-2013131215648_llc.fits,12.0887943971986,0.3,0.00039779794367437364,1.107702427940921e-06,0.00016893992916118582,12.187964872461425,0.8847630523983911,0.8251928020565553,31.775722928054165,,unavailable,model_unavailable
kplr002835913-2009131105131_llc.fits,120.56001328209095,1.0000912051529827,0.0008792448094695517,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,28,high_confidence,0.30651793294236995,70.0,0.7531560625241012,unstable,review_with_caution,above threshold with weaker supporting signals,0.00029379508069096727,0.000499200702477498,0.0018529555754073224,2.0201949733799154,weak,4.5897436795690085,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0028/002835913/kplr002835913-2009131105131_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr002835913-2009131105131_llc.fits,1.7133566783391696,0.3,0.0009983589854335865,4.335734887512514e-05,0.0008792448094695516,3.004307557666494,3.4158606850189375,0.9852941176470589,9.70641243756836,,unavailable,model_unavailable
kplr002835270-2010265121752_llc.fits,539.6345636428159,1.000008354983128,0.0001701737242907003,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,642,medium_confidence,0.12259750101657119,40.0,0.7329172434921019,unstable,low_priority,below review threshold or weak supporting signals,0.00017726370367452123,0.00017248951992587802,0.0006283125204811224,1.8546363195530375,strong,284.23611270495593,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0028/002835270/kplr002835270-2010265121752_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr002835270-2010265121752_llc.fits,34.96923461730865,0.3,0.00032234837436547625,1.5586271168409785e-06,0.0001701737242907003,25.682525257701407,0.7330663788875983,0.9713506139154161,89.84582637518179,,unavailable,model_unavailable
kplr002859114-2009259160929_llc.fits,169.8271295229133,1.0000296520880363,0.0006903611593743308,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,1175,medium_confidence,0.06130167299852474,40.0,1.09703994075083,unstable,low_priority,below review threshold or weak supporting signals,0.0005616317555233563,0.0005431285277076592,0.002201676676162223,1.543280977593895,strong,652.6572850717403,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0028/002859114/kplr002859114-2009259160929_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr002859114-2009259160929_llc.fits,40.07028514257129,0.3,0.0006883266273269928,7.106903188310293e-06,0.0006903611593743308,26.96778011789251,0.8110370543765564,0.9347726228755168,88.94731998728821,,unavailable,model_unavailable
kplr002859114-2011073133259_llc.fits,735.44462261437,1.00002670381076,0.0008386741221002757,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,886,medium_confidence,0.06130191223201109,40.0,1.3068886131686341,unstable,low_priority,below review threshold or weak supporting signals,0.0005039984899841704,0.0004816504650008713,0.0020225938613274153,1.5634870906334015,strong,9.98394232443795,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0028/002859114/kplr002859114-2011073133259_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr002859114-2011073133259_llc.fits,0.673336668334167,0.3,0.00010392199020297534,7.397849332706903e-06,0.0008386741221002757,17.094468492371696,0.7385775177340972,0.9472400121988411,66.98146129881934,,unavailable,model_unavailable
kplr002848288-2012088054726_llc.fits,1099.5102153285625,1.0000134880061222,0.0003809441815962107,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,946,medium_confidence,0.0613029565938632,40.0,2.011783266724821,unstable,low_priority,below review threshold or weak supporting signals,0.0003328748736394601,0.0003138787941452392,0.00155528577856201,1.6367873854024992,strong,105.31230517138017,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0028/002848288/kplr002848288-2012088054726_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr002848288-2012088054726_llc.fits,6.517258629314657,0.128,0.00022558320465624162,1.9082918333617423e-06,0.0003809441815962107,25.342309991174123,0.7196676569304018,0.8778437190900099,82.61341384838306,,unavailable,model_unavailable
kplr002835821-2012277125453_llc.fits,1274.2221643636512,1.0000127663527152,0.00030236365117018173,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,997,medium_confidence,0.08173330837598769,40.0,2.339574084988379,unstable,low_priority,below review threshold or weak supporting signals,0.00026664900198274767,0.00026208276316341816,0.0008431221380950094,1.6535511258819042,strong,16.630149982598304,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0028/002835821/kplr002835821-2012277125453_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr002835821-2012277125453_llc.fits,1.4409704852426213,0.3,7.463190464050457e-05,2.500894614430946e-06,0.00030236365117018173,27.368844184367337,0.7485139874826072,0.8974143367668699,97.1818922420498,,unavailable,model_unavailable
kplr008228206-2011271113734_llc.fits,906.9686087609007,1.0001609822014095,0.002323707842523384,101,0.0002,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads,1440,medium_confidence,0.06130055576795712,40.0,0.6054714745771843,unstable,low_priority,below review threshold or weak supporting signals,0.0015927380551645843,0.001563444673791825,0.007749950815677975,1.356082417443531,strong,705.1827442676596,fa0d57d4-e480-44cf-b342-62fda6fa483c,2026-08-06T01:17:42.410311+00:00,https://archive.stsci.edu/pub/kepler/lightcurves/0082/008228206/kplr008228206-2011271113734_llc.fits,/Users/adarsh/Documents/MyCodeProjects/Exoplanet_Transit_Research/kepler_llc_downloads/kplr008228206-2011271113734_llc.fits,43.28939469734867,0.068,0.004912007681126693,7.238345837834289e-05,0.002323707842523384,25.53184737443881,0.9042783861734057,0.9711349223704352,93.42248884974833,,unavailable,model_unavailable
