feature,importance
valid_fraction,0.17824502
period_stability_cv,0.102533795
observation_baseline_days,0.08057264
bls_depth,0.0631203
std_detrended_flux,0.05740258
mean_transit_depth,0.056407303
bls_period_days,0.055320308
num_peaks,0.05521661
period_agreement,0.05259823
max_transit_depth,0.049737956
bls_power,0.04702483
estimated_period_days,0.046145026
transit_snr,0.045388103
mean_detrended_flux,0.036977015
bls_duration_days,0.032314062
depth_consistency_cv,0.029364558
median_transit_depth,0.0116317095
kernel_size,0.0
prominence,0.0
