target,first_transit_time,mean_detrended_flux,std_detrended_flux,kernel_size,prominence,data_dir,num_peaks,quality_flag,estimated_period_days,final_ranking_score,period_stability_cv,period_stability_flag,review_status,review_reason,mean_transit_depth,median_transit_depth,max_transit_depth
kplr004818131-2010355172524_llc.fits,630.8696638772817,0.9999990651665516,7.917697373639166e-05,101,0.0002,/Users/adarsh/Downloads,54,high_confidence,1.5733126466948306,92.0,0.6797143092735667,unstable,review_with_caution,high score but unstable or missing period estimate,0.00015170187896642635,0.00014555174004304838,0.0003566857598455986
kplr006301007-2009166043257_llc.fits,131.6142870719923,1.0000153043911943,0.0002395932574176579,101,0.0002,/Users/adarsh/Downloads,286,high_confidence,0.10217253647715552,82.0,0.5210677963422092,unstable,review_with_caution,high score but unstable or missing period estimate,0.00018562931227223594,0.00018214081821577022,0.0009582680560461521
kplr003934907-2010174085026_llc.fits,443.55185041369987,1.0000121994953575,0.00039984919907189604,101,0.0002,/Users/adarsh/Downloads,1175,medium_confidence,0.08173640909444657,52.0,0.6887588143831794,unstable,low_priority,below review threshold or weak supporting signals,0.0003251744773441945,0.0003203680078756044,0.0011737981226639382
kplr007102366-2010265121752_llc.fits,539.5115440824738,1.0000447062918,0.0011684779668518891,101,0.0002,/Users/adarsh/Downloads,1318,medium_confidence,0.06130045750614954,52.0,0.6494236823794406,unstable,low_priority,below review threshold or weak supporting signals,0.0009538245191194253,0.0009164528887939394,0.004112601347907252
kplr004241968-2010078095331_llc.fits,352.45789912270993,1.0000416897820172,0.000875292829511243,101,0.0002,/Users/adarsh/Downloads,1262,medium_confidence,0.06130169756215764,52.0,1.6671060817968595,unstable,low_priority,below review threshold or weak supporting signals,0.000715282731144091,0.000672930817143147,0.004480033359072433
kplr004445966-2010265121752_llc.fits,539.6549186695775,1.000005926288785,0.0002014589980259877,101,0.0002,/Users/adarsh/Downloads,728,medium_confidence,0.10216982108249795,52.0,0.6609481065336772,unstable,low_priority,below review threshold or weak supporting signals,0.0002115595494618584,0.0001978750118914463,0.0007228941489760832
kplr011502464-2011073133259_llc.fits,735.4864385014516,1.0000101877549918,0.00020494432617527416,101,0.0002,/Users/adarsh/Downloads,603,medium_confidence,0.09195105037724716,52.0,1.152853554253707,unstable,low_priority,below review threshold or weak supporting signals,0.00019957666327328824,0.0001973086607449659,0.0008341268139638869
kplr006301215-2011177032512_llc.fits,808.5767283119494,1.0000362184836316,0.001213635525047051,101,0.0002,/Users/adarsh/Downloads,1346,medium_confidence,0.061303560905798804,52.0,0.673251414973529,unstable,low_priority,below review threshold or weak supporting signals,0.0005074061337966297,0.0004987976325997456,0.0020052921614568398
kplr006301428-2012088054726_llc.fits,1099.4902668386567,1.0000181512875193,0.00038556906626398653,101,0.0002,/Users/adarsh/Downloads,902,medium_confidence,0.08173170859663514,52.0,2.0054657415392736,unstable,low_priority,below review threshold or weak supporting signals,0.0003008316871439923,0.00030504898342142983,0.0031163746106700474
kplr006303173-2012179063303_llc.fits,1182.8589738673763,1.000014924670214,0.0004898303089527716,101,0.0002,/Users/adarsh/Downloads,1206,medium_confidence,0.061303617774683516,52.0,0.6489591601899168,unstable,low_priority,below review threshold or weak supporting signals,0.0004453786191291428,0.0004222023112366302,0.0017097120459200754
